timestamp,Open,High,Low,Close,Volume
1684065720,26795.3,26795.31,26779.28,26786.39,28.8212
1684065780,26786.39,26786.39,26781.7,26783.08,9.27937
1684065840,26783.09,26783.09,26774.38,26774.38,5.98662
1684065900,26774.38,26789.02,26774.38,26782.02,30.71354
1684065960,26782.03,26785.0,26780.96,26784.75,20.30343
1684066020,26784.74,26793.45,26783.0,26787.55,25.67515
1684066080,26787.55,26791.03,26783.0,26791.02,7.78721
1684066140,26791.02,26791.03,26787.59,26790.21,5.53856
1684066200,26790.21,26790.21,26787.55,26787.56,3.06513
1684066260,26787.56,26787.56,26785.8,26787.5,6.94142
1684066320,26787.5,26792.31,26787.5,26792.3,7.73378
1684066380,26792.3,26792.31,26791.32,26791.33,3.54121
1684066440,26791.32,26791.33,26788.62,26788.63,2.99468
1684066500,26788.62,26788.63,26780.0,26780.01,15.28056
1684066560,26780.0,26780.01,26768.59,26777.86,14.72786
1684066620,26777.86,26777.87,26764.78,26766.02,13.46955
1684066680,26766.03,26769.07,26761.83,26765.84,36.58905
1684066740,26765.84,26771.19,26765.84,26768.96,18.84225
1684066800,26768.96,26775.32,26768.96,26775.32,11.33967
1684066860,26775.32,26775.32,26773.22,26773.22,11.09078
1684066920,26773.23,26773.24,26773.22,26773.24,10.30039
1684066980,26773.24,26774.12,26773.23,26773.27,12.24174
1684067040,26773.26,26773.27,26765.97,26765.98,8.90737
1684067100,26765.98,26777.86,26765.97,26773.0,9.46305
1684067160,26772.99,26773.0,26765.84,26765.84,10.11581
1684067220,26765.85,26765.85,26753.63,26757.09,32.31461
1684067280,26757.09,26757.1,26747.0,26747.01,11.65023
1684067340,26747.01,26749.75,26744.7,26748.6,25.70687
1684067400,26748.6,26762.81,26748.59,26762.8,13.22341
1684067460,26762.8,26772.41,26762.8,26772.41,10.85885
1684067520,26772.41,26772.41,26769.48,26769.49,7.93423
1684067580,26769.48,26773.0,26769.48,26773.0,5.40392
1684067640,26772.99,26773.06,26762.77,26771.2,24.81709
1684067700,26771.21,26771.44,26771.2,26771.43,3.92819
1684067760,26771.44,26771.46,26771.43,26771.44,5.40147
1684067820,26771.44,26771.45,26765.38,26767.58,10.23749
1684067880,26767.59,26769.2,26767.26,26769.2,6.39708
1684067940,26769.2,26769.2,26767.53,26768.78,3.58281
1684068000,26768.77,26782.86,26768.77,26782.86,32.97306
1684068060,26782.85,26782.86,26773.19,26780.19,17.44364
1684068120,26780.19,26797.53,26780.18,26797.53,13.67418
1684068180,26797.52,26797.53,26795.07,26797.5,9.48758
1684068240,26797.51,26817.48,26797.5,26806.53,16.92075
1684068300,26806.52,26810.0,26806.52,26809.99,8.06085
1684068360,26810.0,26826.45,26809.99,26822.84,17.50852
1684068420,26822.85,26822.85,26817.42,26817.42,6.64951
1684068480,26817.43,26824.9,26817.42,26824.89,10.14516
1684068540,26824.9,26825.41,26817.79,26825.4,8.11352
1684068600,26825.41,26825.41,26823.48,26823.48,13.73957
1684068660,26823.48,26823.49,26815.3,26815.31,7.80062
1684068720,26815.31,26815.31,26810.0,26810.0,5.72289
1684068780,26810.0,26815.3,26810.0,26813.85,6.22127
1684068840,26813.84,26816.64,26805.41,26808.31,17.89018
1684068900,26808.31,26811.54,26808.31,26811.54,3.56122
1684068960,26811.54,26811.63,26810.0,26811.62,4.86309
1684069020,26811.62,26866.75,26811.62,26859.59,52.89189
1684069080,26859.58,26880.0,26852.6,26852.85,58.43308
1684069140,26852.86,26871.33,26852.85,26871.33,16.59887
1684069200,26871.32,26894.93,26864.39,26869.72,71.86815
1684069260,26869.71,26869.72,26860.7,26860.71,16.20439
